year,month,state,gender,value
2034,October,Himachal Pradesh,Total,822
2034,October,Himachal Pradesh,Male,444
2034,October,Himachal Pradesh,Female,379
2034,October,Haryana,Total,16606
2034,October,Haryana,Male,8866
2034,October,Haryana,Female,7740
2034,October,Gujarat,Total,43651
2034,October,Gujarat,Male,23219
2034,October,Gujarat,Female,20433
2034,October,Goa,Total,1440
2034,October,Goa,Male,736
2034,October,Goa,Female,704
2034,October,Delhi,Total,26013
2034,October,Delhi,Male,13926
2034,October,Delhi,Female,12087
2034,October,Daman and Diu,Total,1719
2034,October,Daman and Diu,Male,1444
2034,October,Daman and Diu,Female,276
2034,October,Dadra and Nagar Haveli,Total,1243
2034,October,Dadra and Nagar Haveli,Male,739
2034,October,Dadra and Nagar Haveli,Female,504
2034,October,Chhattisgarh,Total,10385
2034,October,Chhattisgarh,Male,5309
2034,October,Chhattisgarh,Female,5076
2034,October,Chandigarh,Total,1348
2034,October,Chandigarh,Male,740
2034,October,Chandigarh,Female,608
2034,October,Bihar,Total,19299
